lookback,batchsize,updates,threshold,numfilters1,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
24,25,10,0,12,0.12781759544893967,0.33109649800946783,0.24297371258530664,0.06682367278308403
24,25,10,0,16,0.12213717688617165,0.34866150531781526,0.2778146225658724,0.06535954312580387
24,25,10,0.1,12,0.12781759544893967,0.33109649800946783,0.2755370985893712,0.06827647348999474
24,25,10,0.1,16,0.12213717688617165,0.34866150531781526,0.31003762484430547,0.06512012325028374
24,25,12,0,12,0.12781759544893967,0.33109649800946783,0.21860712464111953,0.07927381096816645
24,25,12,0,16,0.12213717688617165,0.34866150531781526,0.20670422703872993,0.0773260130533358
24,25,12,0.1,12,0.12781759544893967,0.33109649800946783,0.21329847299583837,0.07858325145546292
24,25,12,0.1,16,0.12213717688617165,0.34866150531781526,0.2047687457583949,0.07678367488227428
24,27,10,0,12,0.13748382064488876,0.3402451558319841,0.23941795488400786,0.0671121571478341
24,27,10,0,16,0.12137192681453252,0.34858845265070215,0.21793816332506483,0.06591783493672342
24,27,10,0.1,12,0.13748382064488876,0.3402451558319841,0.3023478564808904,0.06812029950928472
24,27,10,0.1,16,0.12137192681453252,0.34858845265070215,0.31743940983278485,0.0667641295715511
24,27,12,0,12,0.13748382064488876,0.3402451558319841,0.26349911607152443,0.0814933976103664
24,27,12,0,16,0.12137192681453252,0.34858845265070215,0.21395208574271388,0.07687265716726624
24,27,12,0.1,12,0.13748382064488876,0.3402451558319841,0.27447223007140037,0.07878437067201624
24,27,12,0.1,16,0.12137192681453252,0.34858845265070215,0.22801787935279944,0.07781334825464196
32,25,10,0,12,0.1432374332649047,0.3450190118468564,0.235396520178624,0.0795642571332978
32,25,10,0,16,0.1262388352179398,0.35824285973068176,0.302551666751738,0.07389999761814024
32,25,10,0.1,12,0.1432374332649047,0.3450190118468564,0.3102648884291478,0.08126935131695806
32,25,10,0.1,16,0.1262388352179398,0.35824285973068176,0.3828510332070101,0.0743182127183605
32,25,12,0,12,0.1432374332649047,0.3450190118468564,0.2201468839974151,0.09037182272934333
32,25,12,0,16,0.1262388352179398,0.35824285973068176,0.2517190627096723,0.08768860258707185
32,25,12,0.1,12,0.1432374332649047,0.3450190118468564,0.3049344127450571,0.08956355795099838
32,25,12,0.1,16,0.1262388352179398,0.35824285973068176,0.3121195177181687,0.08920616331734985
32,27,10,0,12,0.11947955556822443,0.3435595186769376,0.30209184285136287,0.07714319275601333
32,27,10,0,16,0.11400985548288728,0.34389735932233423,0.22696542325911523,0.07578551815731949
32,27,10,0.1,12,0.11947955556822443,0.3435595186769376,0.22685532610288586,0.07742350868735921
32,27,10,0.1,16,0.11400985548288728,0.34389735932233423,0.2707690613491353,0.07734628907995286
32,27,12,0,12,0.11947955556822443,0.3435595186769376,0.2898707168018242,0.09273423693101077
32,27,12,0,16,0.11400985548288728,0.34389735932233423,0.20926432249713361,0.08904644620348835
32,27,12,0.1,12,0.11947955556822443,0.3435595186769376,0.233179955441951,0.09282497390285953
32,27,12,0.1,16,0.11400985548288728,0.34389735932233423,0.25095406810346116,0.09190064719599536
