lookback,batchsize,updates,threshold,numfilters1,numfilters2,numfilters3,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
24,25,10,0,12,20,26,0.10502706429126725,0.3461607100076655,0.26700575999936826,0.13522248942677567
24,25,10,0,12,20,28,0.14866934046973085,0.33556046636381776,0.21909915998127144,0.1352961279706257
24,25,10,0,12,22,26,0.13411031218623373,0.32023712097773177,0.35745508525309955,0.13267473453428688
24,25,10,0,12,22,28,0.10746932008901464,0.34115432880337787,0.2406572385230287,0.13676387228616854
24,25,10,0,16,20,26,0.1202697869676714,0.33970207598109836,0.2513694436902985,0.13454835170652807
24,25,10,0,16,20,28,0.10277368492830215,0.3403455831568223,0.2713493550215531,0.13800705630604815
24,25,10,0,16,22,26,0.14467823053688142,0.34863609937407863,0.34579685785885655,0.13741163788772212
24,25,10,0,16,22,28,0.1647577766079648,0.40917945167595937,0.2754763819063489,0.13594693230419624
24,25,10,0.1,12,20,26,0.10502706429126725,0.3461607100076655,0.33746436490598036,0.1349960874191857
24,25,10,0.1,12,20,28,0.14866934046973085,0.33556046636381776,0.2296464733928772,0.1347375960453697
24,25,10,0.1,12,22,26,0.13411031218623373,0.32023712097773177,0.22172344682473824,0.1356209614237801
24,25,10,0.1,12,22,28,0.10746932008901464,0.34115432880337787,0.22539341860578707,0.13598759140693922
24,25,10,0.1,16,20,26,0.1202697869676714,0.33970207598109836,0.2629341880098492,0.13595807917392494
24,25,10,0.1,16,20,28,0.10277368492830215,0.3403455831568223,0.22484765495445164,0.13544679798775092
24,25,10,0.1,16,22,26,0.14467823053688142,0.34863609937407863,0.24149382054307078,0.13554737082939433
24,25,10,0.1,16,22,28,0.1647577766079648,0.40917945167595937,0.2522888123262435,0.13488688597009202
24,25,12,0,12,20,26,0.10502706429126725,0.3461607100076655,0.24037259519763068,0.16043575542729074
24,25,12,0,12,20,28,0.14866934046973085,0.33556046636381776,0.23443979046824454,0.1610513856934338
24,25,12,0,12,22,26,0.13411031218623373,0.32023712097773177,0.22724196869946675,0.1626292614820527
24,25,12,0,12,22,28,0.10746932008901464,0.34115432880337787,0.20632201182435614,0.1602371034389589
24,25,12,0,16,20,26,0.1202697869676714,0.33970207598109836,0.2189047623624605,0.16140337781208317
24,25,12,0,16,20,28,0.10277368492830215,0.3403455831568223,0.24608176821460148,0.16293404393079805
