look_back,batch_size,updates,threshold,Avg_Train_RNMSE,Avg_Test_RNMSE,Avg_Test_Inc_RNMSE
24,30,3,0,0.14943727,0.403849342,0.490383308
12,25,5,0.1,0.16020548,0.321529416,0.496440386
36,30,5,0.1,0.139422346,0.302405113,0.519732532
24,20,3,0.3,0.141466392,0.307840382,0.526361276
24,25,3,0.1,0.147162551,0.359009481,0.527262265
12,30,3,0.1,0.167078259,0.298970797,0.529243827
36,25,5,0.3,0.137432107,0.322122135,0.535816396
36,30,3,0,0.139223512,0.329604328,0.539355255
24,30,5,0.1,0.147919397,0.295919645,0.557766418
24,30,5,0.2,0.148748676,0.299028292,0.562266776
36,20,5,0.2,0.135369765,0.332464285,0.581833684
36,30,3,0.1,0.139650949,0.319606543,0.595136592
24,25,7,0,0.146780721,0.294261184,0.632498094
12,20,7,0.2,0.162134242,0.30365707,0.650689916
24,20,3,0,0.140202827,0.333363525,0.683599681
24,25,5,0.1,0.144086179,0.315602017,0.708112423
36,30,5,0,0.140715372,0.341139962,0.721689648
36,25,3,0,0.141595404,0.332530082,0.721989768
36,20,3,0,0.137309729,0.326147645,0.725506699
12,25,3,0.2,0.162688699,0.301993253,0.768309603
36,20,3,0.2,0.134259205,0.327065062,0.885214599
36,25,3,0.1,0.138406359,0.31821893,0.893983289
36,25,3,0.2,0.144661094,0.331763522,0.960108608
24,25,3,0,0.143717321,0.299899671,0.985305786
36,20,3,0.3,0.134179833,0.327378304,0.988598819
