look_back,batch_size,updates,threshold,Avg_Train_RNMSE,Avg_Test_RNMSE,Avg_Test_Inc_RNMSE,Avg_Test_Inc_Time
16,23,6,0.13,0.153708727,0.305122027,0.254952015,0.256902935
16,23,6,0.15,0.152270433,0.322068942,0.281747531,0.258168782
16,24,6,0.15,0.156117412,0.331350432,0.387879475,0.258173946
16,23,6,0,0.152928253,0.308967011,0.24234528,0.25875595
16,22,6,0,0.154410219,0.315033616,0.267784207,0.258768962
16,24,6,0,0.156989883,0.442015196,0.381559352,0.259907268
16,22,6,0.13,0.153237203,0.308543334,0.262845778,0.260904765
16,25,6,0.13,0.157593772,0.299659824,0.359012298,0.261786597
16,25,6,0.15,0.160081791,0.310462732,0.377846982,0.261945419
16,24,6,0.13,0.159097572,0.345248601,0.340748432,0.262194964
20,25,6,0,0.150421119,0.352489087,0.384125405,0.262330159
20,23,6,0.13,0.150873635,0.300511143,0.273596748,0.262953876
20,24,6,0,0.148628002,0.304453273,0.228690643,0.263503288
20,23,6,0,0.148417905,0.315168602,0.292672683,0.26362258
18,23,6,0,0.152156382,0.349366101,0.312532727,0.263638368
20,24,6,0.13,0.150816722,0.323452938,0.285162358,0.263799363
18,23,6,0.13,0.150771117,0.314176738,0.440318745,0.264027307
20,24,6,0.15,0.151345706,0.288373101,0.34186191,0.265005834
16,25,6,0,0.1549334,0.299060874,0.256532671,0.265484015
18,23,6,0.15,0.149681203,0.335086983,0.552302929,0.265886438
18,22,6,0,0.149025305,0.417269134,0.268560347,0.266197252
16,22,6,0.15,0.154464123,0.309738929,0.260647711,0.26632213
20,23,6,0.15,0.148975675,0.317443279,0.544713701,0.266698497
18,24,6,0,0.153590548,0.322320536,0.275500966,0.267217375
20,22,6,0,0.14737875,0.300927065,0.241910134,0.267916268
18,25,6,0.15,0.149467868,0.299647375,0.34116572,0.267992702
20,22,6,0.15,0.148611902,0.309468956,0.329544562,0.268240332
20,25,6,0.15,0.149372978,0.303478879,0.413189481,0.268691152
20,25,6,0.13,0.151172009,0.321935175,0.288592039,0.268706382
18,22,6,0.13,0.150406532,0.310825453,0.498176128,0.268801459
18,24,6,0.13,0.149808898,0.319263138,0.448137574,0.269071221
18,25,6,0,0.150593499,0.302538288,0.392657477,0.269400294
18,22,6,0.15,0.149927724,0.305201107,0.310505347,0.270261954
18,24,6,0.15,0.151469204,0.300197438,0.433945445,0.270643922
18,25,6,0.13,0.15179432,0.319444626,0.296050011,0.270783432
20,22,6,0.13,0.148874261,0.326832981,0.291889948,0.272005692
16,24,7,0,0.154159919,0.303384191,0.40729667,0.299357786
16,23,7,0.13,0.153757132,0.30509245,0.341137519,0.301033492
16,23,7,0,0.155295956,0.340227399,0.271953388,0.301707348
16,22,7,0.15,0.154519197,0.290874091,0.272434094,0.302944855
16,22,7,0.13,0.157390854,0.29854637,0.238048071,0.303559394
20,24,7,0.13,0.149395258,0.315378242,0.247024273,0.304052017
16,24,7,0.13,0.155909332,0.315725089,0.337624343,0.304186069
20,24,7,0,0.147927706,0.309223867,0.434047282,0.304590219
16,23,7,0.15,0.154248676,0.323571843,0.249306689,0.306207137
20,24,7,0.15,0.14881276,0.350551993,0.369600756,0.306331077
18,22,7,0.13,0.146795291,0.302021042,0.309186241,0.307088358
20,25,7,0,0.150121422,0.322349277,0.3723324,0.307469077
20,22,7,0.15,0.146735455,0.312307573,0.461920143,0.308647999
18,25,7,0,0.149605479,0.315562908,0.413276702,0.309215231
20,23,7,0.15,0.149609523,0.310103848,0.267890481,0.309499502
16,22,7,0,0.153290205,0.330906666,0.305533604,0.309646486
20,23,7,0,0.148951243,0.317314555,0.293809807,0.310097777
18,23,7,0.13,0.149843366,0.321573172,0.345523061,0.310245665
20,23,7,0.13,0.150423911,0.313639498,0.239187835,0.310340845
18,25,7,0.15,0.150587411,0.286711365,0.270981627,0.310553287
20,22,7,0.13,0.148198732,0.32823526,0.328803243,0.310575367
20,25,7,0.15,0.151885627,0.343116414,0.394171353,0.310720984
16,24,7,0.15,0.154377034,0.332168955,0.276829386,0.311166579
16,25,7,0,0.156472996,0.305231867,0.376241891,0.311186168
18,23,7,0.15,0.152657865,0.291100945,0.291603661,0.311485833
16,25,7,0.15,0.1571925,0.331969193,0.246162692,0.311502069
18,22,7,0,0.151087519,0.299960595,0.37648488,0.311787386
18,25,7,0.13,0.152274199,0.328291464,0.425356146,0.312329532
18,23,7,0,0.152763137,0.326185718,0.227478907,0.312416333
20,25,7,0.13,0.153381606,0.318303778,0.325668682,0.313738463
18,22,7,0.15,0.152673713,0.317776766,0.411172503,0.313959157
18,24,7,0,0.155120914,0.316881043,0.29755264,0.314737592
16,25,7,0.13,0.156270716,0.315513945,0.347385008,0.315180479
18,24,7,0.13,0.154168075,0.321354924,0.505596401,0.315812675
20,22,7,0,0.149009476,0.343714502,0.431910347,0.316050942
18,24,7,0.15,0.152708157,0.32074086,0.361028191,0.318255557
