Cell_ID,TrainRNMSE,TestRNMSE,TestIncRNMSE,TimeScore
0,0.18106572,0.369527328,0.223821987,0.078484293
1,0.160266402,0.414742471,0.247932226,0.078484293
2,0.142676696,0.313657977,0.201751275,0.078484293
3,0.111524388,0.302506559,0.185825677,0.078484293
4,0.114242788,0.350060539,0.186855342,0.078484293
5,0.153797108,0.349059033,0.252892603,0.078484293
6,0.12752956,0.324185889,0.224173137,0.078484293
7,0.148393838,0.353236072,0.257661507,0.078484293
8,0.160154069,0.300130853,0.217484727,0.078484293
9,0.10364515,0.283156757,0.183396351,0.078484293
10,0.121014538,0.394317431,0.194826942,0.078484293
11,0.11597358,0.376396517,0.199898802,0.078484293
12,0.087397298,0.402397038,0.183545249,0.078484293
13,0.081660291,0.467904117,0.220112453,0.078484293
14,0.139504888,0.309102559,0.237219393,0.078484293
15,0.147388952,0.25264104,0.204456887,0.078484293
16,0.166343926,0.473008723,0.285205348,0.078484293
17,0.124033921,0.336575018,0.19507364,0.078484293
18,0.106151922,0.253406774,0.164464746,0.078484293
19,0.085595871,0.219197493,0.158421565,0.078484293
20,0.076179101,0.497685286,0.23782551,0.078484293
21,0.14162738,0.249027453,0.211029331,0.078484293
22,0.149845763,0.355635346,0.300033956,0.078484293
23,0.121141914,0.233022918,0.185713805,0.078484293
24,0.132053075,0.36381469,0.227755448,0.078484293
25,0.125285412,0.260651716,0.201403744,0.078484293
26,0.124800896,0.35260165,0.182511454,0.078484293
27,0.125431461,0.33424946,0.195312483,0.078484293
28,0.109713591,0.373498139,0.167324473,0.078484293
29,0.101548458,0.228073788,0.173272999,0.078484293
30,0.099059287,0.224483135,0.166869776,0.078484293
31,0.1190409,0.252414825,0.202040379,0.078484293
32,0.112997813,0.291843151,0.203667092,0.078484293
33,0.110909293,0.216549989,0.177752661,0.078484293
34,0.087879132,0.233378735,0.146313054,0.078484293
35,0.104681594,0.445696852,0.221518103,0.078484293
36,0.109521684,0.226960575,0.176226975,0.078484293
37,0.109397733,0.260735299,0.174312463,0.078484293
38,0.115210854,0.270103768,0.18996401,0.078484293
39,0.124574215,0.261527495,0.19397571,0.078484293
40,0.117898517,0.261533474,0.182647495,0.078484293
41,0.089513754,0.196117736,0.142312145,0.078484293
42,0.189508532,1.090425589,0.362019601,0.078484293
43,0.133576402,0.593005662,0.216378571,0.078484293
44,0.125522349,0.244989145,0.201152713,0.078484293
45,0.114528979,0.294379327,0.168590918,0.078484293
46,0.095856441,0.406526117,0.179812317,0.078484293
47,0.107968888,1.015620228,0.223895162,0.078484293
48,0.131087342,0.204652027,0.197016339,0.078484293
