look_back,batch_size,updates,threshold,num_filters,Avg_Train_RNMSE,Avg_Test_RNMSE,Avg_Test_Inc_RNMSE,Avg_Test_Inc_Time
24,25,7,0.05,20,0.129370283,0.315953206,0.206134305,1.08986057
24,25,7,0.05,16,0.131870257,0.311777117,0.239595452,1.068265167
24,25,7,0.05,18,0.121671446,0.332339449,0.25899125,1.085843891
24,25,7,0.1,18,0.121689851,0.308883261,0.287863568,1.098883126
24,25,7,0.1,20,0.126075846,0.349538983,0.296176681,1.072412509
24,25,7,0.1,16,0.115667315,0.340626227,0.315440178,1.085298595
24,25,7,0,20,0.129681677,0.323079883,0.317100414,1.074751205
24,25,7,0,18,0.124747353,0.310446438,0.412928294,1.085937632
24,25,7,0,16,0.128464811,0.314236229,0.43223116,1.081452258
24,25,6,0.05,16,0.128639301,0.333102935,0.207194008,0.930093625
24,25,6,0,16,0.13320884,0.315793485,0.219565853,0.902208147
24,25,6,0,18,0.124673092,0.327541092,0.243582217,0.92004377
24,25,6,0.1,18,0.120864209,0.366848606,0.284490715,0.936718723
24,25,6,0.05,20,0.11974483,0.311729741,0.304344548,0.941451981
24,25,6,0.1,16,0.129081324,0.300692513,0.310604485,0.929250321
24,25,6,0.1,20,0.119538508,0.316066527,0.335525388,0.938362114
24,25,6,0,20,0.12422431,0.309342354,0.363697763,0.927402729
24,25,6,0.05,18,0.123640656,0.339022492,0.370918246,0.934507352
24,25,5,0.1,16,0.124514944,0.326581924,0.230819274,0.777156513
24,25,5,0,18,0.118265021,0.366009643,0.254878067,0.795643131
24,25,5,0.05,18,0.126314423,0.315639935,0.274957739,0.788206141
24,25,5,0.1,18,0.125264262,0.321355798,0.304929189,0.778841419
24,25,5,0.05,20,0.121644953,0.328581055,0.32578193,0.78280137
24,25,5,0,20,0.119209806,0.335825637,0.423130115,0.78332792
24,25,5,0.1,20,0.120428766,0.341286375,0.454769605,0.774278405
24,25,5,0.05,16,0.124675461,0.330987868,0.509901921,0.781298668
24,25,5,0,16,0.118254842,0.347724685,0.513803324,0.774502611
