lookback,batchsize,updates,threshold,numfilters1,numfilters2,numfilters3,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
18,23,5,0,12,22,28,0.187835187,0.448506484,0.371094753,0.121667027
18,23,5,0,12,24,28,0.153363331,0.485570907,0.446709834,0.122285999
18,23,5,0,16,22,28,0.158432381,0.494343316,0.625237197,0.121913525
18,23,5,0,16,24,28,0.15372728,0.466365099,0.55164472,0.122419727
18,23,5,0.1,12,22,28,0.187835187,0.448506484,0.552023595,0.120614324
18,23,5,0.1,12,24,28,0.153363331,0.485570907,0.310261683,0.121293763
18,23,5,0.1,16,22,28,0.158432381,0.494343316,0.344154585,0.12055225
18,23,5,0.1,16,24,28,0.15372728,0.466365099,0.420154368,0.121345879
18,23,6,0,12,22,28,0.187835187,0.448506484,0.311909215,0.14711214
18,23,6,0,12,24,28,0.153363331,0.485570907,0.320387095,0.147810234
18,23,6,0,16,22,28,0.158432381,0.494343316,0.325127582,0.147493505
18,23,6,0,16,24,28,0.15372728,0.466365099,0.420310115,0.149215018
18,23,6,0.1,12,22,28,0.187835187,0.448506484,0.31019255,0.1485767
18,23,6,0.1,12,24,28,0.153363331,0.485570907,0.330172463,0.150161505
18,23,6,0.1,16,22,28,0.158432381,0.494343316,0.281807175,0.149608593
18,23,6,0.1,16,24,28,0.15372728,0.466365099,0.28477087,0.148455831
18,25,5,0,12,22,28,0.151296105,0.459312128,0.374152387,0.12307081
18,25,5,0,12,24,28,0.152863272,0.467974531,0.361560314,0.123147074
18,25,5,0,16,22,28,0.151618513,0.477816485,0.440386693,0.122985935
18,25,5,0,16,24,28,0.154390025,0.474658688,0.281189524,0.12344292
18,25,5,0.1,12,22,28,0.151296105,0.459312128,0.35919908,0.123028896
18,25,5,0.1,12,24,28,0.152863272,0.467974531,0.310032155,0.12354475
18,25,5,0.1,16,22,28,0.151618513,0.477816485,0.314167404,0.123632784
18,25,5,0.1,16,24,28,0.154390025,0.474658688,0.339156859,0.123744682
18,25,6,0,12,22,28,0.151296105,0.459312128,0.264918595,0.149880821
18,25,6,0,12,24,28,0.152863272,0.467974531,0.369789575,0.151957715
18,25,6,0,16,22,28,0.151618513,0.477816485,0.282026932,0.150735851
18,25,6,0,16,24,28,0.154390025,0.474658688,0.322254829,0.150783951
18,25,6,0.1,12,22,28,0.151296105,0.459312128,0.340661039,0.150036103
18,25,6,0.1,12,24,28,0.152863272,0.467974531,0.319585846,0.150779727
18,25,6,0.1,16,22,28,0.151618513,0.477816485,0.285710874,0.15054046
18,25,6,0.1,16,24,28,0.154390025,0.474658688,0.374841784,0.151669511
24,23,5,0,12,22,28,0.143089991,0.431891745,0.292107755,0.157839804
24,23,5,0,12,24,28,0.148955496,0.462915216,0.299977048,0.160099008
24,23,5,0,16,22,28,0.154824391,0.490183556,0.331715137,0.159186088
24,23,5,0,16,24,28,0.154175173,0.431943901,0.345362317,0.159188138
24,23,5,0.1,12,22,28,0.143089991,0.431891745,0.440230695,0.158480261
24,23,5,0.1,12,24,28,0.148955496,0.462915216,0.330086884,0.15896935
24,23,5,0.1,16,22,28,0.154824391,0.490183556,0.282243039,0.158903044
24,23,5,0.1,16,24,28,0.154175173,0.431943901,0.3785313,0.159968154
24,23,6,0,12,22,28,0.143089991,0.431891745,0.293024386,0.195245378
24,23,6,0,12,24,28,0.148955496,0.462915216,0.47293199,0.19416478
24,23,6,0,16,22,28,0.154824391,0.490183556,0.446178623,0.193836897
24,23,6,0,16,24,28,0.154175173,0.431943901,0.275169563,0.193622667
24,23,6,0.1,12,22,28,0.143089991,0.431891745,0.298364768,0.191190645
24,23,6,0.1,12,24,28,0.148955496,0.462915216,0.361772774,0.19263266
24,23,6,0.1,16,22,28,0.154824391,0.490183556,0.453791511,0.191704498
24,23,6,0.1,16,24,28,0.154175173,0.431943901,0.325565304,0.194828435
24,25,5,0,12,22,28,0.153145769,0.438142991,0.389978296,0.160110893
24,25,5,0,12,24,28,0.141266947,0.456359469,0.319889714,0.160414278
24,25,5,0,16,22,28,0.140614597,0.462381147,0.336792595,0.160056487
24,25,5,0,16,24,28,0.153291866,0.482560063,0.329866186,0.160791244
24,25,5,0.1,12,22,28,0.153145769,0.438142991,0.332344617,0.159705686
24,25,5,0.1,12,24,28,0.141266947,0.456359469,0.414428374,0.16037236
24,25,5,0.1,16,22,28,0.140614597,0.462381147,0.41443613,0.160361186
24,25,5,0.1,16,24,28,0.153291866,0.482560063,0.31693885,0.164025069
24,25,6,0,12,22,28,0.153145769,0.438142991,0.267259937,0.20136379
24,25,6,0,12,24,28,0.141266947,0.456359469,0.272967998,0.202370967
24,25,6,0,16,22,28,0.140614597,0.462381147,0.334149699,0.20264525
24,25,6,0,16,24,28,0.153291866,0.482560063,0.2401231,0.208222736
24,25,6,0.1,12,22,28,0.153145769,0.438142991,0.293234645,0.210390658
24,25,6,0.1,12,24,28,0.141266947,0.456359469,0.410464401,0.210725035
24,25,6,0.1,16,22,28,0.140614597,0.462381147,0.354186527,0.210441947
24,25,6,0.1,16,24,28,0.153291866,0.482560063,0.296432409,0.212818665
