Metros2,CapasCNN,Kernel,lookback,batchsize,updates,threshold,numfilters1,numfilters2,numfilters3,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
49,1,2,32,25,10,0,12,,,0.143237433,0.345019012,0.23539652,0.079564257
49,1,2,32,25,10,0,16,,,0.126238835,0.35824286,0.302551667,0.073899998
49,1,2,32,25,10,0.1,12,,,0.143237433,0.345019012,0.310264888,0.081269351
49,1,2,32,25,10,0.1,16,,,0.126238835,0.35824286,0.382851033,0.074318213
49,1,2,32,25,12,0,12,,,0.143237433,0.345019012,0.220146884,0.090371823
49,1,2,32,25,12,0,16,,,0.126238835,0.35824286,0.251719063,0.087688603
49,1,2,32,25,12,0.1,12,,,0.143237433,0.345019012,0.304934413,0.089563558
49,1,2,32,25,12,0.1,16,,,0.126238835,0.35824286,0.312119518,0.089206163
49,1,2,32,27,10,0,12,,,0.119479556,0.343559519,0.302091843,0.077143193
49,1,2,32,27,10,0,16,,,0.114009855,0.343897359,0.226965423,0.075785518
49,1,2,32,27,10,0.1,12,,,0.119479556,0.343559519,0.226855326,0.077423509
49,1,2,32,27,10,0.1,16,,,0.114009855,0.343897359,0.270769061,0.077346289
49,1,2,32,27,12,0,12,,,0.119479556,0.343559519,0.289870717,0.092734237
49,1,2,32,27,12,0,16,,,0.114009855,0.343897359,0.209264322,0.089046446
49,1,2,32,27,12,0.1,12,,,0.119479556,0.343559519,0.233179955,0.092824974
49,1,2,32,27,12,0.1,16,,,0.114009855,0.343897359,0.250954068,0.091900647
49,1,3,12,20,5,0,16,,,0.136435987,0.336438593,0.315445888,0.02757469
49,1,3,12,20,5,0,18,,,0.138510311,0.326107852,0.413911498,0.028649796
49,1,3,12,20,5,0,20,,,0.135498539,0.325804514,0.354485161,0.027686205
49,1,3,12,20,5,0.1,16,,,0.136435987,0.336438593,0.488243405,0.027484346
49,1,3,12,20,5,0.1,18,,,0.138510311,0.326107852,0.410907713,0.028399394
49,1,3,12,20,5,0.1,20,,,0.135498539,0.325804514,0.335227716,0.02800322
49,1,3,12,20,5,0.5,16,,,0.136435987,0.336438593,0.424276243,0.033062468
49,1,3,12,20,5,0.5,18,,,0.138510311,0.326107852,0.319070671,0.033434413
49,1,3,12,20,5,0.5,20,,,0.135498539,0.325804514,0.309906383,0.050293431
49,1,3,12,20,6,0,18,,,0.138510311,0.326107852,0.306620305,0.033249064
49,1,3,12,20,6,0.1,18,,,0.138510311,0.326107852,0.369522493,0.033302386
49,1,3,12,20,6,0.5,16,,,0.136435987,0.336438593,0.349864357,0.035956842
49,1,3,12,20,6,0.5,18,,,0.138510311,0.326107852,0.395449133,0.037378202
49,1,3,12,20,6,0.5,20,,,0.135498539,0.325804514,0.28763296,0.039794498
49,1,3,12,20,7,0,18,,,0.138510311,0.326107852,0.498220386,0.038639605
49,1,3,12,20,7,0.1,18,,,0.138510311,0.326107852,0.266783037,0.038509295
49,1,3,12,20,7,0.5,16,,,0.136435987,0.336438593,0.282705025,0.045757024
49,1,3,12,20,7,0.5,18,,,0.138510311,0.326107852,0.35248547,0.044054232
49,1,3,12,20,7,0.5,20,,,0.135498539,0.325804514,0.323421081,0.048680628
49,1,3,12,23,5,0,16,,,0.163683806,0.310488177,0.25276199,0.028206747
49,1,3,12,23,5,0,18,,,0.191792312,0.313789065,0.339138751,0.029220118
49,1,3,12,23,5,0,20,,,0.149129542,0.310096554,0.454356282,0.028102564
49,1,3,12,23,5,0.1,16,,,0.163683806,0.310488177,0.448968258,0.028001268
49,1,3,12,23,5,0.1,18,,,0.191792312,0.313789065,0.466502204,0.028728778
49,1,3,12,23,5,0.1,20,,,0.149129542,0.310096554,0.272141155,0.029016897
49,1,3,12,23,5,0.5,16,,,0.163683806,0.310488177,0.361072925,0.037107385
49,1,3,12,23,5,0.5,18,,,0.191792312,0.313789065,0.355444945,0.034520278
49,1,3,12,23,5,0.5,20,,,0.149129542,0.310096554,0.364362493,0.046756702
49,1,3,12,23,6,0,16,,,0.163683806,0.310488177,0.371240712,0.0334291
49,1,3,12,23,6,0,18,,,0.191792312,0.313789065,0.440105914,0.033698077
49,1,3,12,23,6,0,20,,,0.149129542,0.310096554,0.333190807,0.033899505
49,1,3,12,23,6,0.1,16,,,0.163683806,0.310488177,0.530360013,0.033133841
49,1,3,12,23,6,0.1,18,,,0.191792312,0.313789065,0.256510533,0.033913294
49,1,3,12,23,6,0.1,20,,,0.149129542,0.310096554,0.537276387,0.034126491
49,1,3,12,23,6,0.5,16,,,0.163683806,0.310488177,0.297694435,0.038356194
49,1,3,12,23,6,0.5,18,,,0.191792312,0.313789065,0.341480768,0.039937094
49,1,3,12,23,6,0.5,20,,,0.149129542,0.310096554,0.350884832,0.046619215
49,1,3,12,23,7,0,16,,,0.163683806,0.310488177,0.25660396,0.03884932
49,1,3,12,23,7,0,18,,,0.191792312,0.313789065,0.25641798,0.039045478
49,1,3,12,23,7,0,20,,,0.149129542,0.310096554,0.533563212,0.039312762
49,1,3,12,23,7,0.1,16,,,0.163683806,0.310488177,0.361071249,0.038909419
49,1,3,12,23,7,0.1,18,,,0.191792312,0.313789065,0.253997468,0.03941358
49,1,3,12,23,7,0.1,20,,,0.149129542,0.310096554,0.350028629,0.039502083
49,1,3,12,23,7,0.5,16,,,0.163683806,0.310488177,0.271988095,0.04592449
49,1,3,12,23,7,0.5,18,,,0.191792312,0.313789065,0.278681715,0.042506903
49,1,3,12,23,7,0.5,20,,,0.149129542,0.310096554,0.358859532,0.04174355
49,1,3,12,25,5,0,16,,,0.140831023,0.332049578,0.304053971,0.028388267
49,1,3,12,25,5,0,18,,,0.140274747,0.339992052,0.471792821,0.029790833
49,1,3,12,25,5,0,20,,,0.140729277,0.318985044,0.295276939,0.02933928
49,1,3,12,25,5,0.1,16,,,0.140831023,0.332049578,0.374727835,0.02936971
49,1,3,12,25,5,0.1,18,,,0.140274747,0.339992052,0.639532086,0.029768318
49,1,3,12,25,5,0.1,20,,,0.140729277,0.318985044,0.348532402,0.029584602
49,1,3,12,25,5,0.5,16,,,0.140831023,0.332049578,0.34816462,0.032745421
49,1,3,12,25,5,0.5,18,,,0.140274747,0.339992052,0.310210295,0.035851433
49,1,3,12,25,5,0.5,20,,,0.140729277,0.318985044,0.32780507,0.032121062
49,1,3,12,25,6,0,18,,,0.140274747,0.339992052,0.453894436,0.033884039
49,1,3,12,25,6,0.1,18,,,0.140274747,0.339992052,1.301283526,0.033482335
49,1,3,12,25,6,0.5,16,,,0.140831023,0.332049578,0.289479545,0.039108899
49,1,3,12,25,6,0.5,18,,,0.140274747,0.339992052,0.344352871,0.046676698
49,1,3,12,25,6,0.5,20,,,0.140729277,0.318985044,0.370562344,0.038727413
49,1,3,12,25,7,0,18,,,0.140274747,0.339992052,0.343432875,0.039021849
49,1,3,12,25,7,0.1,18,,,0.140274747,0.339992052,0.314101687,0.039221571
49,1,3,12,25,7,0.5,16,,,0.140831023,0.332049578,0.400846216,0.040453789
49,1,3,12,25,7,0.5,18,,,0.140274747,0.339992052,0.299707008,0.044716686
49,1,3,12,25,7,0.5,20,,,0.140729277,0.318985044,0.29200197,0.049683946
49,1,3,18,20,5,0,16,,,0.124188291,0.351130706,0.44549564,0.032867833
49,1,3,18,20,5,0,18,,,0.125561637,0.34379394,0.279698489,0.033507451
49,1,3,18,20,5,0,20,,,0.157130497,0.333308253,0.289715531,0.032463338
49,1,3,18,20,5,0.1,16,,,0.124188291,0.351130706,0.337810675,0.030352295
49,1,3,18,20,5,0.1,18,,,0.125561637,0.34379394,0.324740071,0.030957301
49,1,3,18,20,5,0.1,20,,,0.157130497,0.333308253,0.557908275,0.030610056
49,1,3,18,20,5,0.5,16,,,0.124188291,0.351130706,0.261651886,0.040797204
49,1,3,18,20,5,0.5,18,,,0.125561637,0.34379394,0.317533034,0.03606078
49,1,3,18,20,5,0.5,20,,,0.157130497,0.333308253,0.280227668,0.039849146
49,1,3,18,20,6,0,16,,,0.124188291,0.351130706,0.22750189,0.035662545
49,1,3,18,20,6,0,18,,,0.125561637,0.34379394,0.330851318,0.035961099
49,1,3,18,20,6,0,20,,,0.157130497,0.333308253,0.279271202,0.035047249
49,1,3,18,20,6,0.1,16,,,0.124188291,0.351130706,0.459342456,0.034787498
49,1,3,18,20,6,0.1,18,,,0.125561637,0.34379394,0.401013509,0.035679612
49,1,3,18,20,6,0.1,20,,,0.157130497,0.333308253,0.299093759,0.035048685
49,1,3,18,20,6,0.5,16,,,0.124188291,0.351130706,0.303918994,0.046009271
49,1,3,18,20,6,0.5,18,,,0.125561637,0.34379394,0.39852485,0.038462612
49,1,3,18,20,6,0.5,20,,,0.157130497,0.333308253,0.263999611,0.045986775
49,1,3,18,20,7,0,16,,,0.124188291,0.351130706,0.270392779,0.039796924
49,1,3,18,20,7,0,18,,,0.125561637,0.34379394,0.36236949,0.040383231
49,1,3,18,20,7,0,20,,,0.157130497,0.333308253,0.264339883,0.039690626
49,1,3,18,20,7,0.1,16,,,0.124188291,0.351130706,0.328284274,0.040293827
49,1,3,18,20,7,0.1,18,,,0.125561637,0.34379394,0.242497093,0.040590078
49,1,3,18,20,7,0.1,20,,,0.157130497,0.333308253,0.342248843,0.039974868
49,1,3,18,20,7,0.5,16,,,0.124188291,0.351130706,0.275108437,0.045760756
49,1,3,18,20,7,0.5,18,,,0.125561637,0.34379394,0.451926269,0.042284695
49,1,3,18,20,7,0.5,20,,,0.157130497,0.333308253,0.276592488,0.04984677
49,1,3,18,23,5,0,16,,,0.132810299,0.33521819,0.367564029,0.030673811
49,1,3,18,23,5,0,18,,,0.128073586,0.32483796,0.615401825,0.030784797
49,1,3,18,23,5,0,20,,,0.126368559,0.317677541,0.472691303,0.030580541
49,1,3,18,23,5,0.1,16,,,0.132810299,0.33521819,0.27981442,0.029565398
49,1,3,18,23,5,0.1,18,,,0.128073586,0.32483796,0.326615437,0.03059983
49,1,3,18,23,5,0.1,20,,,0.126368559,0.317677541,0.408602846,0.030408025
49,1,3,18,23,5,0.5,16,,,0.132810299,0.33521819,0.355172789,0.03606778
49,1,3,18,23,5,0.5,18,,,0.128073586,0.32483796,0.407765671,0.034781146
49,1,3,18,23,5,0.5,20,,,0.126368559,0.317677541,0.274672361,0.035647229
49,1,3,18,23,6,0,16,,,0.132810299,0.33521819,0.286590484,0.035219487
49,1,3,18,23,6,0,18,,,0.128073586,0.32483796,0.273141048,0.03532709
49,1,3,18,23,6,0,20,,,0.126368559,0.317677541,0.504135745,0.035575443
49,1,3,18,23,6,0.1,16,,,0.132810299,0.33521819,0.268178265,0.03479157
49,1,3,18,23,6,0.1,18,,,0.128073586,0.32483796,0.293402615,0.035651929
49,1,3,18,23,6,0.1,20,,,0.126368559,0.317677541,0.246195606,0.035623868
49,1,3,18,23,6,0.5,16,,,0.132810299,0.33521819,0.334052626,0.037902778
49,1,3,18,23,6,0.5,18,,,0.128073586,0.32483796,0.297844432,0.039584539
49,1,3,18,23,6,0.5,20,,,0.126368559,0.317677541,0.284678399,0.044010284
49,1,3,18,23,7,0,16,,,0.132810299,0.33521819,0.261624957,0.040276404
49,1,3,18,23,7,0,18,,,0.128073586,0.32483796,0.28099613,0.04223907
49,1,3,18,23,7,0,20,,,0.126368559,0.317677541,0.247007135,0.043097759
49,1,3,18,23,7,0.1,16,,,0.132810299,0.33521819,0.311369425,0.043027274
49,1,3,18,23,7,0.1,18,,,0.128073586,0.32483796,0.323032644,0.044723524
49,1,3,18,23,7,0.1,20,,,0.126368559,0.317677541,0.303077048,0.044731894
49,1,3,18,23,7,0.5,16,,,0.132810299,0.33521819,0.336221312,0.051536809
49,1,3,18,23,7,0.5,18,,,0.128073586,0.32483796,0.409013863,0.050712824
49,1,3,18,23,7,0.5,20,,,0.126368559,0.317677541,0.452651562,0.045065927
49,1,3,18,25,5,0,16,,,0.140966651,0.317910143,0.279664385,0.032794129
49,1,3,18,25,5,0,18,,,0.125616867,0.32494159,0.300975342,0.033728964
49,1,3,18,25,5,0,20,,,0.134359081,0.3193303,0.452861752,0.032525784
49,1,3,18,25,5,0.1,16,,,0.140966651,0.317910143,0.244987354,0.032419967
49,1,3,18,25,5,0.1,18,,,0.125616867,0.32494159,0.262777857,0.033501401
49,1,3,18,25,5,0.1,20,,,0.134359081,0.3193303,0.246148344,0.033602963
49,1,3,18,25,5,0.5,16,,,0.140966651,0.317910143,0.271096583,0.037249161
49,1,3,18,25,5,0.5,18,,,0.125616867,0.32494159,0.332152581,0.035403193
49,1,3,18,25,5,0.5,20,,,0.134359081,0.3193303,0.347808418,0.034517668
