lookback,batchsize,updates,threshold,numfilters1,numfilters2,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
24,25,10,0,12,20,0.13817469310599248,0.41140300556803255,0.24082425883100844,0.2207736736390649
24,25,10,0,12,22,0.13724511238330184,0.4310477075853453,0.3066813455842902,0.22755633703092248
24,25,10,0,16,20,0.1440068674286846,0.40695458972560344,0.32142827451055317,0.22705535353683845
24,25,10,0,16,22,0.13795612508500144,0.4242277749435739,0.3173366609091473,0.22952957106799615
24,25,10,0.1,12,20,0.13817469310599248,0.41140300556803255,0.2723911719737688,0.2254289998821569
24,25,10,0.1,12,22,0.13724511238330184,0.4310477075853453,0.2627302582548843,0.2281713058315137
24,25,10,0.1,16,20,0.1440068674286846,0.40695458972560344,0.29786449736898174,0.2285287590085423
24,25,10,0.1,16,22,0.13795612508500144,0.4242277749435739,0.26029114187346647,0.2327745790723004
24,25,12,0,12,20,0.13817469310599248,0.41140300556803255,0.24924177699734046,0.2735094868264547
24,25,12,0,12,22,0.13724511238330184,0.4310477075853453,0.2846580066339173,0.27470222287061735
24,25,12,0,16,20,0.1440068674286846,0.40695458972560344,0.23908997690832728,0.27375522706566785
24,25,12,0,16,22,0.13795612508500144,0.4242277749435739,0.2370083586680937,0.2807619564707686
24,25,12,0.1,12,20,0.13817469310599248,0.41140300556803255,0.2555464363789701,0.27522496105749394
24,25,12,0.1,12,22,0.13724511238330184,0.4310477075853453,0.2759506323045277,0.28159273688991865
24,25,12,0.1,16,20,0.1440068674286846,0.40695458972560344,0.3149026668991961,0.27945120327334155
24,25,12,0.1,16,22,0.13795612508500144,0.4242277749435739,0.2650394784342953,0.2847808162286592
24,27,10,0,12,20,0.15872507633469968,0.44265074073535504,0.2731352286326705,0.2346735765904556
24,27,10,0,12,22,0.1462049712184546,0.4047621294186553,0.25449129812009497,0.23667437421177415
24,27,10,0,16,20,0.14499084481766375,0.4147186208152969,0.26975325384991394,0.23256273192671062
24,27,10,0,16,22,0.13987421028236555,0.42264491401159365,0.253038541676057,0.2341073263517925
24,27,10,0.1,12,20,0.15872507633469968,0.44265074073535504,0.342953869671127,0.231102701305419
24,27,10,0.1,12,22,0.1462049712184546,0.4047621294186553,0.25388568678015905,0.23410379496576353
24,27,10,0.1,16,20,0.14499084481766375,0.4147186208152969,0.2778823925938756,0.233161232842555
24,27,10,0.1,16,22,0.13987421028236555,0.42264491401159365,0.24552223534738044,0.23650180659527822
24,27,12,0,12,20,0.15872507633469968,0.44265074073535504,0.28211793804533786,0.2792402407382628
24,27,12,0,12,22,0.1462049712184546,0.4047621294186553,0.34515524062816505,0.2820413825858353
24,27,12,0,16,20,0.14499084481766375,0.4147186208152969,0.23458068392366113,0.27957530057894425
24,27,12,0,16,22,0.13987421028236555,0.42264491401159365,0.25948363670786656,0.2829078242310092
24,27,12,0.1,12,20,0.15872507633469968,0.44265074073535504,0.24625532913288656,0.27775873801459566
24,27,12,0.1,12,22,0.1462049712184546,0.4047621294186553,0.2586066065095277,0.28055299389935806
24,27,12,0.1,16,20,0.14499084481766375,0.4147186208152969,0.2527565674801362,0.2794691808250958
24,27,12,0.1,16,22,0.13987421028236555,0.42264491401159365,0.29350358965795187,0.2824133178767036
32,25,10,0,12,20,0.26822137285989756,0.4127292584154909,0.3345589888127409,0.29654747265141185
32,25,10,0,12,22,0.131859510065494,0.4364795822359941,0.25480804343056357,0.2920993630479022
32,25,10,0,16,20,0.14752239390223046,0.46444604900690944,0.2868791494996574,0.2957720295975848
32,25,10,0,16,22,0.12987691606991755,0.42760376572266634,0.2725714461900176,0.30332435096182475
32,25,10,0.1,12,20,0.26822137285989756,0.4127292584154909,0.2636900290690486,0.29554671811357736
32,25,10,0.1,12,22,0.131859510065494,0.4364795822359941,0.3226010834809372,0.3000259147563451
32,25,10,0.1,16,20,0.14752239390223046,0.46444604900690944,0.27980409046874155,0.29840252239833814
32,25,10,0.1,16,22,0.12987691606991755,0.42760376572266634,0.3349328322444703,0.30132296617607096
32,25,12,0,12,20,0.26822137285989756,0.4127292584154909,0.28921572832337766,0.3551058545926722
32,25,12,0,12,22,0.131859510065494,0.4364795822359941,0.24126436547679336,0.354655492131303
32,25,12,0,16,20,0.14752239390223046,0.46444604900690944,0.2800617383866578,0.35693746427210366
32,25,12,0,16,22,0.12987691606991755,0.42760376572266634,0.26948862650255423,0.3647251212887648
32,25,12,0.1,12,20,0.26822137285989756,0.4127292584154909,0.3161950560557343,0.3576206673000842
32,25,12,0.1,12,22,0.131859510065494,0.4364795822359941,0.25525586051669397,0.364237374414893
32,25,12,0.1,16,20,0.14752239390223046,0.46444604900690944,0.22617055570063369,0.3613006861664128
32,25,12,0.1,16,22,0.12987691606991755,0.42760376572266634,0.2454729822606941,0.37152619346528604
