lookback,batchsize,updates,threshold,numfilters1,numfilters2,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
18,23,5,0,12,22,0.175569961,0.476399183,0.451672176,0.077452905
18,23,5,0,12,24,0.16670318,0.468624496,0.248951206,0.078192864
18,23,5,0,16,22,0.148213997,0.401921239,0.332342734,0.077785579
18,23,5,0,16,24,0.14827018,0.431012858,0.28370099,0.079159436
18,23,5,0.1,12,22,0.175569961,0.476399183,0.418448291,0.077747659
18,23,5,0.1,12,24,0.16670318,0.468624496,0.245141464,0.079073617
18,23,5,0.1,16,22,0.148213997,0.401921239,0.374224392,0.078323459
18,23,5,0.1,16,24,0.14827018,0.431012858,0.329405901,0.079027093
18,23,6,0,12,22,0.175569961,0.476399183,0.280536921,0.094679112
18,23,6,0,12,24,0.16670318,0.468624496,0.261473573,0.096328385
18,23,6,0,16,22,0.148213997,0.401921239,0.274910822,0.095359542
18,23,6,0,16,24,0.14827018,0.431012858,0.246684359,0.098592882
18,23,6,0.1,12,22,0.175569961,0.476399183,0.253807638,0.096259125
18,23,6,0.1,12,24,0.16670318,0.468624496,0.346647776,0.096121174
18,23,6,0.1,16,22,0.148213997,0.401921239,0.277123064,0.094909325
18,23,6,0.1,16,24,0.14827018,0.431012858,0.314259477,0.095599324
18,25,5,0,12,22,0.157194951,0.458416582,0.371168109,0.079424166
18,25,5,0,12,24,0.149715304,0.453302292,0.274710409,0.08011631
18,25,5,0,16,22,0.152192975,0.419949502,0.286936679,0.079803957
18,25,5,0,16,24,0.147380347,0.440939285,0.376636446,0.080229758
18,25,5,0.1,12,22,0.157194951,0.458416582,0.418546919,0.079536968
18,25,5,0.1,12,24,0.149715304,0.453302292,0.310991276,0.080293462
18,25,5,0.1,16,22,0.152192975,0.419949502,0.397679338,0.079997951
18,25,5,0.1,16,24,0.147380347,0.440939285,0.308649154,0.08016618
18,25,6,0,12,22,0.157194951,0.458416582,0.392744133,0.097106843
18,25,6,0,12,24,0.149715304,0.453302292,0.414130603,0.097552526
18,25,6,0,16,22,0.152192975,0.419949502,0.279459102,0.096880671
18,25,6,0,16,24,0.147380347,0.440939285,0.285646735,0.097443984
18,25,6,0.1,12,22,0.157194951,0.458416582,0.332306445,0.096719292
18,25,6,0.1,12,24,0.149715304,0.453302292,0.366063183,0.097357698
18,25,6,0.1,16,22,0.152192975,0.419949502,0.252161657,0.096827859
18,25,6,0.1,16,24,0.147380347,0.440939285,0.315033138,0.098052157
24,23,5,0,12,22,0.176657344,0.477394808,0.351640078,0.100048869
24,23,5,0,12,24,0.136787817,0.455549211,0.373009118,0.101060408
24,23,5,0,16,22,0.162024702,0.403819032,0.264531117,0.099652828
24,23,5,0,16,24,0.137795383,0.441749684,0.318773264,0.100806316
24,23,5,0.1,12,22,0.176657344,0.477394808,0.382843959,0.100227999
24,23,5,0.1,12,24,0.136787817,0.455549211,0.454680378,0.101745185
24,23,5,0.1,16,22,0.162024702,0.403819032,0.339361186,0.100775546
24,23,5,0.1,16,24,0.137795383,0.441749684,0.349577577,0.101898596
24,23,6,0,12,22,0.176657344,0.477394808,0.327477322,0.121743525
24,23,6,0,12,24,0.136787817,0.455549211,0.260075939,0.122357065
24,23,6,0,16,22,0.162024702,0.403819032,0.305916341,0.121786315
24,23,6,0,16,24,0.137795383,0.441749684,0.32674551,0.123147173
24,23,6,0.1,12,22,0.176657344,0.477394808,0.266033375,0.120649351
24,23,6,0.1,12,24,0.136787817,0.455549211,0.266485809,0.122114093
24,23,6,0.1,16,22,0.162024702,0.403819032,0.375071796,0.121892831
24,23,6,0.1,16,24,0.137795383,0.441749684,0.355101974,0.122975554
24,25,5,0,12,22,0.137245112,0.431047708,0.333535003,0.102109726
24,25,5,0,12,24,0.150651605,0.423668284,0.271925322,0.105956694
24,25,5,0,16,22,0.137956125,0.424227775,0.373148584,0.101493124
24,25,5,0,16,24,0.175526803,0.401617012,0.30421787,0.103348257
24,25,5,0.1,12,22,0.137245112,0.431047708,0.288353149,0.102117308
24,25,5,0.1,12,24,0.150651605,0.423668284,0.45440354,0.102371954
24,25,5,0.1,16,22,0.137956125,0.424227775,0.307787886,0.102528495
24,25,5,0.1,16,24,0.175526803,0.401617012,0.436441314,0.103589917
24,25,6,0,12,22,0.137245112,0.431047708,0.242453421,0.124427441
24,25,6,0,12,24,0.150651605,0.423668284,0.286733154,0.126904779
24,25,6,0,16,22,0.137956125,0.424227775,0.276438073,0.124096793
24,25,6,0,16,24,0.175526803,0.401617012,0.3043759,0.125074342
24,25,6,0.1,12,22,0.137245112,0.431047708,0.337011578,0.123249993
24,25,6,0.1,12,24,0.150651605,0.423668284,0.32760225,0.124538578
24,25,6,0.1,16,22,0.137956125,0.424227775,0.260414216,0.124229469
24,25,6,0.1,16,24,0.175526803,0.401617012,0.268589432,0.125540803
