lookback,batchsize,updates,threshold,numfilters1,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
18,23,5,0,12,0.1515353040186129,0.3864357219012916,0.40533780932881536,0.036692788785707295
18,23,5,0,16,0.15018867146181675,0.39637054975926883,0.2701534142631444,0.037062425243831985
18,23,5,0.1,12,0.1515353040186129,0.3864357219012916,0.398514668965744,0.036382274267634254
18,23,5,0.1,16,0.15018867146181675,0.39637054975926883,0.4379761221822618,0.0370541370078309
18,23,6,0,12,0.1515353040186129,0.3864357219012916,0.38145951261787353,0.0428718533542972
18,23,6,0,16,0.15018867146181675,0.39637054975926883,0.2877047473382932,0.04318771290193208
18,23,6,0.1,12,0.1515353040186129,0.3864357219012916,0.33567706236444794,0.04330330308672357
18,23,6,0.1,16,0.15018867146181675,0.39637054975926883,0.31938852242233484,0.044743414477889806
18,25,5,0,12,0.151678050543177,0.39069559895562644,0.349915753705374,0.03798847947801862
18,25,5,0,16,0.1498589799820255,0.39036859333154866,0.30838738926418624,0.03846099921635219
18,25,5,0.1,12,0.151678050543177,0.39069559895562644,0.33823125466468096,0.03787731888504104
18,25,5,0.1,16,0.1498589799820255,0.39036859333154866,0.23995122194832708,0.03846121206879616
18,25,6,0,12,0.151678050543177,0.39069559895562644,0.4956342167482402,0.04409720829554967
18,25,6,0,16,0.1498589799820255,0.39036859333154866,0.3640755161672319,0.044208497774033316
18,25,6,0.1,12,0.151678050543177,0.39069559895562644,0.2933257329950779,0.04338530581463567
18,25,6,0.1,16,0.1498589799820255,0.39036859333154866,0.312182459532062,0.04379492826811504
24,23,5,0,12,0.15309894545264502,0.39553523797420603,0.39241580648811947,0.042613294619868916
24,23,5,0,16,0.13801064037729244,0.39569947229995817,0.2824194017683532,0.04371328676380397
24,23,5,0.1,12,0.15309894545264502,0.39553523797420603,0.3058933505409944,0.04314078907211701
24,23,5,0.1,16,0.13801064037729244,0.39569947229995817,0.46245086804554536,0.043595004057716144
24,23,6,0,12,0.15309894545264502,0.39553523797420603,0.37899239055633616,0.05108952982990062
24,23,6,0,16,0.13801064037729244,0.39569947229995817,0.3495108646889454,0.05158733538383447
24,23,6,0.1,12,0.15309894545264502,0.39553523797420603,0.3073568944778376,0.050639866324375164
24,23,6,0.1,16,0.13801064037729244,0.39569947229995817,0.352238442505954,0.05164719435323282
24,25,5,0,12,0.2279788076568724,0.4469632075875706,0.38929838926446875,0.04367236718898866
24,25,5,0,16,0.13993488943184704,0.3984287534722322,0.34289374167505204,0.044825114273443455
24,25,5,0.1,12,0.2279788076568724,0.4469632075875706,0.3285171452615931,0.04406293870931643
24,25,5,0.1,16,0.13993488943184704,0.3984287534722322,0.3487106105760644,0.044662265663602915
24,25,6,0,12,0.2279788076568724,0.4469632075875706,0.27241305415771666,0.05245165382943502
24,25,6,0,16,0.13993488943184704,0.3984287534722322,0.35815957415427657,0.053586399729658916
24,25,6,0.1,12,0.2279788076568724,0.4469632075875706,0.35296945615663616,0.052378874945353315
24,25,6,0.1,16,0.13993488943184704,0.3984287534722322,0.2684331401687935,0.054258844682148526
