Cell_ID,TrainRNMSE,TestRNMSE,TestIncRNMSE,TimeScore
0,0.2180193739746561,0.2552835032452624,0.2925471257657871,0.02444440215762218
1,0.20881654474496636,0.2877786379073502,0.32023411361929205,0.02444440215762218
2,0.17639097099171666,0.18885347948489153,0.29041136502667647,0.02444440215762218
3,0.13912947940767592,0.22535908239360022,0.31753536075010885,0.02444440215762218
4,0.14279138360228733,0.19245354054712924,0.2512388657287965,0.02444440215762218
5,0.19003814693561286,0.35954925295596424,0.2867519912960395,0.02444440215762218
6,0.15944279722549665,0.22726808964163256,0.2877184239849594,0.02444440215762218
7,0.19656493822746668,0.4273641249278605,0.33795543074781176,0.02444440215762218
8,0.20008880897947362,0.2440898196787616,0.27029072000520177,0.02444440215762218
9,0.13860292351045364,0.18606856154289436,0.26062597368212004,0.02444440215762218
10,0.1484019724811196,0.3035545123965857,0.2594896640606905,0.02444440215762218
11,0.13942775845271477,0.16511945335715808,0.23715180285356927,0.02444440215762218
12,0.1003640423348262,0.16592351655972537,0.23851011321826854,0.02444440215762218
13,0.10090493628243212,0.3548769326091421,0.37043216186800976,0.02444440215762218
14,0.18715828256055514,0.39029492024019763,0.2936572219050422,0.02444440215762218
15,0.18804132676670487,0.3076793108487828,0.2554007787063514,0.02444440215762218
16,0.21407059338539167,0.3656289873103622,0.34293253449668015,0.02444440215762218
17,0.15955482829345324,0.2671097606045551,0.25173698698753855,0.02444440215762218
18,0.1226599661870259,0.191261036847664,0.19645161996218916,0.02444440215762218
19,0.10489593388627129,0.19283185903263272,0.2189803608378358,0.02444440215762218
20,0.08792023446809707,0.37684319805147165,0.38216247109571094,0.02444440215762218
21,0.15606528321571544,0.21980811670565426,0.27121476513432613,0.02444440215762218
22,0.1788595214541575,0.32536948984001024,0.4283294834111098,0.02444440215762218
23,0.1401781074997179,0.225271406468339,0.2272418307489479,0.02444440215762218
24,0.1838944257371233,0.30736829108894254,0.3163311351259112,0.02444440215762218
25,0.1623944418349944,0.25600826267809645,0.2290497421569291,0.02444440215762218
26,0.1412146362803291,0.2889065138157288,0.26938731974976127,0.02444440215762218
27,0.15031135730437054,0.3055979368550972,0.24449659145454905,0.02444440215762218
28,0.11488546681606285,0.2992399838810436,0.24148434955365897,0.02444440215762218
29,0.1058962149657013,0.2222666178405181,0.23606623778766886,0.02444440215762218
30,0.11619467532426782,0.2055657852718615,0.21485970079787783,0.02444440215762218
31,0.14059203155595298,0.2621454151406043,0.3158977725232347,0.02444440215762218
32,0.12214175617875787,0.32977070798618613,0.3530811821446624,0.02444440215762218
33,0.14813570492642772,0.22211788938502328,0.23586913767964632,0.02444440215762218
34,0.11281742704654703,0.16301478992871216,0.16835803206788388,0.02444440215762218
35,0.12843772083015204,0.4991648115480832,0.2779712629696172,0.02444440215762218
36,0.1336742307202189,0.2036614454155406,0.19620169707851393,0.02444440215762218
37,0.13417234922559748,0.3035612334627947,0.2889842036809665,0.02444440215762218
38,0.14105753306953162,0.21264291257589274,0.23960840768738592,0.02444440215762218
39,0.16311771885321344,0.3270042184180643,0.24519277935943193,0.02444440215762218
40,0.1435948745973691,0.2565399982237542,0.22835231937406308,0.02444440215762218
41,0.11738523156509793,0.1809352496709871,0.17005451419470544,0.02444440215762218
42,0.23854613545561493,1.228651950293017,0.5106883539684232,0.02444440215762218
43,0.16729617551234094,0.7130776855608045,0.3490649885604173,0.02444440215762218
44,0.16264149382082504,0.2672144554311209,0.2391213380680238,0.02444440215762218
45,0.1388222592614007,0.2378191137069328,0.24253165218892656,0.02444440215762218
46,0.11932545190355319,0.5081627526496231,0.19756052093770377,0.02444440215762218
47,0.12966360228027332,1.08888846774062,0.44433904840819266,0.02444440215762218
48,0.15141814013750102,0.2872342300373966,0.2434615680671757,0.02444440215762218
